"country" "code" "year" "CP_modern"
"233" "Burundi" 108 "2013" 0.021076273248671
"234" "Burundi" 108 "2018" -0.0374025344844342
"235" "Cabo Verde" 132 "1978" -0.00330489320229793
"236" "Cabo Verde" 132 "1983" -0.00379647669772246
"237" "Cabo Verde" 132 "1988" 0.0023947341205641
"238" "Cabo Verde" 132 "1993" 0.0383575510839077
"239" "Cabo Verde" 132 "1998" 0.0751787894429252
"240" "Cabo Verde" 132 "2003" 0.0330869140217725
"241" "Cabo Verde" 132 "2008" -0.0162707282813795
"242" "Cabo Verde" 132 "2013" -0.0470278370665752
"243" "Cabo Verde" 132 "2018" -0.0454869975792199
"244" "Cambodia" 116 "1978" -0.00094038294024483
"245" "Cambodia" 116 "1983" -0.00183658733773981
"246" "Cambodia" 116 "1988" -0.0036024669426198
"247" "Cambodia" 116 "1993" -0.0106340507518884
"248" "Cambodia" 116 "1998" -0.00337182822588689
"249" "Cambodia" 116 "2003" 0.00664881731197928
"250" "Cambodia" 116 "2008" -0.00450391352796101
"251" "Cambodia" 116 "2013" -0.00960525493461817
"252" "Cambodia" 116 "2018" -0.0209471799662371
"253" "Cameroon" 120 "1978" -0.00327039449240974
"254" "Cameroon" 120 "1983" -0.00228262097987101
"255" "Cameroon" 120 "1988" 0.00188735293698104
"256" "Cameroon" 120 "1993" 0.00663441755938925
"257" "Cameroon" 120 "1998" 0.00476940652285139
"258" "Cameroon" 120 "2003" 0.0162721111221235
"259" "Cameroon" 120 "2008" -0.00292680854521042
"260" "Cameroon" 120 "2013" -0.022602574944856
"261" "Cameroon" 120 "2018" -0.0333365638163098
"262" "Canada" 124 "1978" 0.0133541824079934
"263" "Canada" 124 "1983" 0.0119254674778038
"264" "Canada" 124 "1988" 0.00895537187983209
"265" "Canada" 124 "1993" 0.0136894576019224
"266" "Canada" 124 "1998" 0.0185130230477684
"267" "Canada" 124 "2003" 0.0123429816747639
"268" "Canada" 124 "2008" 0.0365912015682953
"269" "Canada" 124 "2013" 0.00845304881615594
"270" "Canada" 124 "2018" 0.000689688955984313
"271" "Central African Republic" 140 "1978" -0.00118545502472055
"272" "Central African Republic" 140 "1983" -0.00191075869831373
"273" "Central African Republic" 140 "1988" -0.00291156606705421
"274" "Central African Republic" 140 "1993" -0.00402656043446078
"275" "Central African Republic" 140 "1998" 0.00697246138455033
"276" "Central African Republic" 140 "2003" 0.0129779498759509
"277" "Central African Republic" 140 "2008" -0.0119099126053335
"278" "Central African Republic" 140 "2013" -0.0167508379338626
"279" "Central African Republic" 140 "2018" -0.0157365871467073
"280" "Chad" 148 "1978" -0.000241898747313197
"281" "Chad" 148 "1983" -0.000488466485318817
"282" "Chad" 148 "1988" -0.000939790482442849
"283" "Chad" 148 "1993" -0.00196057042302474
"284" "Chad" 148 "1998" -0.00218960128409782
"285" "Chad" 148 "2003" -0.00215027155475745
"286" "Chad" 148 "2008" -0.0050567435586212
"287" "Chad" 148 "2013" 0.000876403210080121
"288" "Chad" 148 "2018" -0.00125875633854103
"289" "Chile" 152 "1978" -0.00391435134902315
"290" "Chile" 152 "1983" -0.00380318968360877
"291" "Chile" 152 "1988" -0.00345234314215009
"292" "Chile" 152 "1993" -0.00144185059898472
"293" "Chile" 152 "1998" -9.58480065668676e-05
"294" "Chile" 152 "2003" 0.00293250513917909
"295" "Chile" 152 "2008" 0.01313219359457
"296" "Chile" 152 "2013" 0.0296388819954063
"297" "Chile" 152 "2018" 0.0184664539492515
"298" "China" 156 "1978" 0.0549126548008188
"299" "China" 156 "1983" -0.0189890073677778
"300" "China" 156 "1988" 0.00152542881210627
"301" "China" 156 "1993" 0.0505003898892868
"302" "China" 156 "1998" 0.022096489626891
"303" "China" 156 "2003" 0.00713366794517634
"304" "China" 156 "2008" -0.0123812789683283
"305" "China" 156 "2013" -0.00764114038665542
"306" "China" 156 "2018" -0.00788978290162301
"307" "China, Hong Kong Special Administrative Region" 344 "1978" 0.122539594609745
"308" "China, Hong Kong Special Administrative Region" 344 "1983" 0.064549525339736
"309" "China, Hong Kong Special Administrative Region" 344 "1988" 0.0558971365394368
"310" "China, Hong Kong Special Administrative Region" 344 "1993" 0.0400805748804645
"311" "China, Hong Kong Special Administrative Region" 344 "1998" 0.0109314924458869
"312" "China, Hong Kong Special Administrative Region" 344 "2003" -0.0140087005168872
"313" "China, Hong Kong Special Administrative Region" 344 "2008" -0.0341030763394847
"314" "China, Hong Kong Special Administrative Region" 344 "2013" -0.0467817831846699
"315" "China, Hong Kong Special Administrative Region" 344 "2018" -0.0456876736492809
"316" "China, Taiwan Province of China" 158 "1978" 0.137041694986683
"317" "China, Taiwan Province of China" 158 "1983" 0.0695069099997635
"318" "China, Taiwan Province of China" 158 "1988" 0.0384228539873175
"319" "China, Taiwan Province of China" 158 "1993" 0.0359097660533958
"320" "China, Taiwan Province of China" 158 "1998" 0.0305522773173901
"321" "China, Taiwan Province of China" 158 "2003" -0.027497680957336
