"code" "year" "gdp"
"301" 156 1993 -0.144358117527973
"302" 156 1998 NA
"303" 156 2003 NA
"304" 156 2008 NA
"305" 156 2013 NA
"306" 156 2018 NA
"307" 170 1978 0.201292402532645
"308" 170 1983 -0.0552104316356885
"309" 170 1988 -0.0962973322670854
"310" 170 1993 -0.0401331768670399
"311" 170 1998 -0.0396228135223821
"312" 170 2003 -0.1409594200921
"313" 170 2008 0.17093077185165
"314" 170 2013 NA
"315" 170 2018 NA
"316" 174 1978 NA
"317" 174 1983 0.0746553231432307
"318" 174 1988 0.182488764565348
"319" 174 1993 -0.163853546860908
"320" 174 1998 -0.0722600131360272
"321" 174 2003 -0.0448620872125073
"322" 174 2008 -0.0658224319269007
"323" 174 2013 -0.0163801651342546
"324" 174 2018 0.106034156562019
"325" 178 1978 -0.0545873416261815
"326" 178 1983 0.518951155753357
"327" 178 1988 -0.293593689110687
"328" 178 1993 -0.343166406702259
"329" 178 1998 -0.396373187995163
"330" 178 2003 0.353666212964019
"331" 178 2008 0.241646711234074
"332" 178 2013 0.39694920246463
"333" 178 2018 -0.42349265698179
"334" 188 1978 0.105632652512707
"335" 188 1983 -0.157049407160395
"336" 188 1988 -0.0517408892004327
"337" 188 1993 -0.00415571791700838
"338" 188 1998 0.0710546175227601
"339" 188 2003 0.00582950400441462
"340" 188 2008 0.0304292402379546
"341" 188 2013 NA
"342" 188 2018 NA
"343" 384 1978 0.0854260541576409
"344" 384 1983 -0.286850461951429
"345" 384 1988 0.018741141243115
"346" 384 1993 -0.210064076226541
"347" 384 1998 -0.0219390707219202
"348" 384 2003 -0.18675087622914
"349" 384 2008 -0.0993292935794677
"350" 384 2013 0.376683824806856
"351" 384 2018 0.324082758500886
"352" 192 1978 0
"353" 192 1983 NA
"354" 192 1988 NA
"355" 192 1993 NA
"356" 192 1998 NA
"357" 192 2003 NA
"358" 192 2008 NA
"359" 192 2013 NA
"360" 192 2018 NA
"361" 203 1978 0.0487961913247781
"362" 203 1983 -0.0487961913247781
"363" 203 1988 NA
"364" 203 1993 NA
"365" 203 1998 NA
"366" 203 2003 NA
"367" 203 2008 NA
"368" 203 2013 NA
"369" 203 2018 NA
"370" 408 1978 NA
"371" 408 1983 NA
"372" 408 1988 NA
"373" 408 1993 NA
"374" 408 1998 0
"375" 408 2003 NA
"376" 408 2008 NA
"377" 408 2013 NA
"378" 408 2018 NA
"379" 180 1978 NA
"380" 180 1983 NA
